,Unnamed: 0,Item_Identifier,Item_Type,Physical_Product_Name
187,187,NCW29,Health and Hygiene,Toothpaste
188,188,FDE04,Frozen Foods,Frozen Pizza
189,189,NCB19,Household,Detergent
190,190,FDV15,Meat,Chicken Breast
191,191,FDL58,Snack Foods,Potato Chips
192,192,FDA08,Fruits and Vegetables,Apples
193,193,FDT43,Fruits and Vegetables,Apples
194,194,NCX06,Household,Detergent
195,195,FDT20,Fruits and Vegetables,Apples
196,196,FDB41,Frozen Foods,Frozen Pizza
197,197,NCN55,Others,Miscellaneous Grocery Items
198,198,FDE40,Dairy,Milk
199,199,FDX49,Canned,Canned Beans
200,200,NCM53,Health and Hygiene,Toothpaste
201,201,FDE36,Baking Goods,All-Purpose Flour
202,202,FDN57,Snack Foods,Potato Chips
203,203,FDI24,Baking Goods,All-Purpose Flour
204,204,FDI19,Meat,Chicken Breast
205,205,FDF24,Baking Goods,All-Purpose Flour
206,206,FDG52,Frozen Foods,Frozen Pizza
207,207,DRF36,Soft Drinks,Cola
208,208,FDS45,Snack Foods,Potato Chips
209,209,FDX40,Frozen Foods,Frozen Pizza
211,211,DRC27,Dairy,Milk
213,213,NCD30,Household,Detergent
214,214,NCZ54,Household,Detergent
215,215,FDE10,Snack Foods,Potato Chips
216,216,FDR44,Fruits and Vegetables,Apples
217,217,FDP28,Frozen Foods,Frozen Pizza
218,218,FDX15,Meat,Chicken Breast
219,219,FDA39,Meat,Chicken Breast
220,220,FDY24,Baking Goods,All-Purpose Flour
221,221,FDC60,Baking Goods,All-Purpose Flour
222,222,FDH28,Frozen Foods,Frozen Pizza
223,223,FDT25,Canned,Canned Beans
225,225,NCO07,Others,Miscellaneous Grocery Items
227,227,DRF27,Dairy,Milk
228,228,FDS49,Canned,Canned Beans
229,229,FDX25,Canned,Canned Beans
230,230,NCX42,Household,Detergent
231,231,FDG33,Seafood,Salmon
232,232,FDL56,Fruits and Vegetables,Apples
233,233,FDF14,Canned,Canned Beans
235,235,DRM47,Hard Drinks,Whiskey
238,238,FDX21,Snack Foods,Potato Chips
240,240,NCR38,Household,Detergent
241,241,NCR18,Household,Detergent
242,242,NCU41,Health and Hygiene,Toothpaste
243,243,FDY56,Fruits and Vegetables,Apples
244,244,DRJ51,Dairy,Milk
247,247,FDU44,Fruits and Vegetables,Apples
248,248,FDL43,Meat,Chicken Breast
249,249,FDF05,Frozen Foods,Frozen Pizza
250,250,DRF15,Dairy,Milk
251,251,FDL20,Fruits and Vegetables,Apples
252,252,FDV32,Fruits and Vegetables,Apples
253,253,FDJ34,Snack Foods,Potato Chips
254,254,FDG08,Fruits and Vegetables,Apples
255,255,FDQ04,Frozen Foods,Frozen Pizza
256,256,FDW13,Canned,Canned Beans
258,258,FDY03,Meat,Chicken Breast
259,259,FDS12,Baking Goods,All-Purpose Flour
260,260,FDJ55,Meat,Chicken Breast
261,261,DRK01,Soft Drinks,Cola
262,262,FDG28,Frozen Foods,Frozen Pizza
263,263,FDY38,Dairy,Milk
264,264,FDN01,Breakfast,Oats
265,265,NCR54,Household,Detergent
266,266,FDG29,Frozen Foods,Frozen Pizza
267,267,FDG24,Baking Goods,All-Purpose Flour
268,268,FDG59,Starchy Foods,Rice
269,269,FDM28,Frozen Foods,Frozen Pizza
270,270,FDW04,Frozen Foods,Frozen Pizza
271,271,FDS26,Dairy,Milk
272,272,FDQ56,Fruits and Vegetables,Apples
273,273,FDK51,Dairy,Milk
274,274,FDL22,Snack Foods,Potato Chips
276,276,FDY55,Fruits and Vegetables,Apples
279,279,FDZ10,Snack Foods,Potato Chips
280,280,FDZ32,Fruits and Vegetables,Apples
282,282,NCF07,Household,Detergent
283,283,DRE49,Soft Drinks,Cola
284,284,FDJ08,Fruits and Vegetables,Apples
285,285,FDT39,Meat,Chicken Breast
286,286,FDE08,Fruits and Vegetables,Apples
288,288,FDB57,Fruits and Vegetables,Apples
289,289,NCT54,Household,Detergent
291,291,FDM25,Breakfast,Oats
292,292,FDF20,Fruits and Vegetables,Apples
293,293,FDH27,Dairy,Milk
294,294,FDV60,Baking Goods,All-Purpose Flour
295,295,FDY59,Baking Goods,All-Purpose Flour
296,296,FDK36,Baking Goods,All-Purpose Flour
297,297,NCM31,Others,Miscellaneous Grocery Items
298,298,FDE33,Fruits and Vegetables,Apples
299,299,FDU36,Baking Goods,All-Purpose Flour
300,300,FDV13,Canned,Canned Beans
302,302,NCQ54,Household,Detergent
305,305,DRP47,Hard Drinks,Whiskey
306,306,FDB21,Fruits and Vegetables,Apples
307,307,FDR04,Frozen Foods,Frozen Pizza
308,308,FDX23,Baking Goods,All-Purpose Flour
309,309,FDX19,Fruits and Vegetables,Apples
310,310,FDD40,Dairy,Milk
311,311,FDA01,Canned,Canned Beans
312,312,FDS33,Snack Foods,Potato Chips
313,313,FDM50,Canned,Canned Beans
314,314,FDB29,Frozen Foods,Frozen Pizza
315,315,FDF46,Snack Foods,Potato Chips
316,316,FDA33,Snack Foods,Potato Chips
317,317,FDC08,Fruits and Vegetables,Apples
318,318,FDB53,Frozen Foods,Frozen Pizza
319,319,FDY31,Fruits and Vegetables,Apples
320,320,DRQ35,Hard Drinks,Whiskey
321,321,FDX36,Baking Goods,All-Purpose Flour
322,322,DRD13,Soft Drinks,Cola
323,323,FDC52,Dairy,Milk
324,324,FDB45,Fruits and Vegetables,Apples
325,325,NCK19,Others,Miscellaneous Grocery Items
326,326,FDV51,Meat,Chicken Breast
327,327,FDZ35,Breads,Whole Wheat Bread
328,328,NCW17,Health and Hygiene,Toothpaste
329,329,FDV59,Breads,Whole Wheat Bread
330,330,DRH39,Dairy,Milk
331,331,FDN60,Baking Goods,All-Purpose Flour
332,332,FDU55,Fruits and Vegetables,Apples
333,333,FDN58,Snack Foods,Potato Chips
334,334,FDC41,Frozen Foods,Frozen Pizza
335,335,FDO01,Breakfast,Oats
336,336,NCO43,Others,Miscellaneous Grocery Items
337,337,FDQ07,Fruits and Vegetables,Apples
338,338,FDF28,Frozen Foods,Frozen Pizza
339,339,FDM01,Breakfast,Oats
340,340,FDY49,Canned,Canned Beans
341,341,FDR24,Baking Goods,All-Purpose Flour
342,342,NCY18,Household,Detergent
343,343,NCY30,Household,Detergent
344,344,FDJ22,Snack Foods,Potato Chips
345,345,DRI37,Soft Drinks,Cola
346,346,FDL27,Meat,Chicken Breast
347,347,NCO30,Household,Detergent
348,348,NCB07,Household,Detergent
350,350,FDP59,Breads,Whole Wheat Bread
351,351,FDR59,Breads,Whole Wheat Bread
352,352,FDT27,Meat,Chicken Breast
353,353,DRI01,Soft Drinks,Cola
354,354,FDU09,Snack Foods,Potato Chips
355,355,FDH26,Canned,Canned Beans
357,357,FDN39,Meat,Chicken Breast
358,358,FDH40,Frozen Foods,Frozen Pizza
359,359,FDJ56,Fruits and Vegetables,Apples
360,360,DRN47,Hard Drinks,Whiskey
362,362,FDX60,Baking Goods,All-Purpose Flour
363,363,FDT22,Snack Foods,Potato Chips
364,364,FDX26,Dairy,Milk
365,365,FDG45,Fruits and Vegetables,Apples
366,366,FDD44,Fruits and Vegetables,Apples
367,367,FDS15,Meat,Chicken Breast
368,368,FDL51,Dairy,Milk
369,369,FDL32,Fruits and Vegetables,Apples
370,370,FDZ07,Fruits and Vegetables,Apples
371,371,NCW53,Health and Hygiene,Toothpaste
372,372,NCA54,Household,Detergent
373,373,FDX09,Snack Foods,Potato Chips
374,374,FDO51,Meat,Chicken Breast
375,375,FDW49,Canned,Canned Beans
376,376,FDB27,Dairy,Milk
377,377,FDF45,Fruits and Vegetables,Apples
378,378,FDV02,Dairy,Milk
379,379,FDY28,Frozen Foods,Frozen Pizza
380,380,FDX31,Fruits and Vegetables,Apples
381,381,FDR43,Fruits and Vegetables,Apples
382,382,FDP51,Meat,Chicken Breast
383,383,FDL52,Frozen Foods,Frozen Pizza
386,386,FDC50,Canned,Canned Beans
387,387,FDT57,Snack Foods,Potato Chips
388,388,FDP22,Snack Foods,Potato Chips
391,391,FDY32,Fruits and Vegetables,Apples
392,392,FDW07,Fruits and Vegetables,Apples
394,394,NCF18,Household,Detergent
397,397,FDG35,Starchy Foods,Rice
398,398,FDY34,Snack Foods,Potato Chips
399,399,NCE19,Household,Detergent
400,400,NCK31,Others,Miscellaneous Grocery Items
401,401,NCJ29,Health and Hygiene,Toothpaste
402,402,FDT59,Breads,Whole Wheat Bread
403,403,NCX41,Health and Hygiene,Toothpaste
404,404,FDU45,Snack Foods,Potato Chips
405,405,FDW24,Baking Goods,All-Purpose Flour
406,406,FDF22,Snack Foods,Potato Chips
407,407,FDM60,Baking Goods,All-Purpose Flour
408,408,FDR02,Dairy,Milk
409,409,DRP35,Hard Drinks,Whiskey
410,410,FDS48,Baking Goods,All-Purpose Flour
411,411,NCZ42,Household,Detergent
412,412,FDZ38,Dairy,Milk
414,414,NCB55,Household,Detergent
415,415,FDC15,Dairy,Milk
416,416,FDF11,Starchy Foods,Rice
417,417,FDW35,Breads,Whole Wheat Bread
418,418,FDB44,Fruits and Vegetables,Apples
419,419,NCC06,Household,Detergent
421,421,FDB17,Frozen Foods,Frozen Pizza
422,422,FDW43,Fruits and Vegetables,Apples
423,423,FDA27,Dairy,Milk
427,427,FDN32,Fruits and Vegetables,Apples
429,429,FDZ27,Dairy,Milk
430,430,FDW23,Baking Goods,All-Purpose Flour
431,431,FDU01,Canned,Canned Beans
432,432,FDF10,Snack Foods,Potato Chips
433,433,DRH03,Dairy,Milk
434,434,FDW27,Meat,Chicken Breast
435,435,DRI13,Soft Drinks,Cola
436,436,NCR05,Health and Hygiene,Toothpaste
440,440,FDI35,Starchy Foods,Rice
441,441,FDX08,Fruits and Vegetables,Apples
443,443,NCJ18,Household,Detergent
444,444,FDJ41,Frozen Foods,Frozen Pizza
445,445,FDU08,Fruits and Vegetables,Apples
446,446,FDS09,Snack Foods,Potato Chips
447,447,DRH15,Dairy,Milk
448,448,NCV17,Health and Hygiene,Toothpaste
449,449,NCO54,Household,Detergent
450,450,FDE24,Baking Goods,All-Purpose Flour
451,451,FDH53,Frozen Foods,Frozen Pizza
452,452,FDZ13,Canned,Canned Beans
453,453,FDW28,Frozen Foods,Frozen Pizza
454,454,FDU46,Snack Foods,Potato Chips
455,455,NCE43,Household,Detergent
459,459,NCC42,Health and Hygiene,Toothpaste
460,460,FDQ20,Fruits and Vegetables,Apples
461,461,FDA13,Canned,Canned Beans
462,462,FDZ15,Dairy,Milk
463,463,NCV42,Household,Detergent
464,464,DRI51,Dairy,Milk
465,465,FDO28,Frozen Foods,Frozen Pizza
466,466,NCS54,Household,Detergent
467,467,FDH16,Frozen Foods,Frozen Pizza
469,469,FDR52,Frozen Foods,Frozen Pizza
470,470,NCH06,Household,Detergent
471,471,FDA36,Baking Goods,All-Purpose Flour
472,472,FDU56,Fruits and Vegetables,Apples
473,473,FDT09,Snack Foods,Potato Chips
474,474,FDU25,Canned,Canned Beans
475,475,FDK41,Frozen Foods,Frozen Pizza
478,478,FDM24,Baking Goods,All-Purpose Flour
480,480,FDQ45,Snack Foods,Potato Chips
481,481,DRK59,Hard Drinks,Whiskey
484,484,FDR21,Snack Foods,Potato Chips
486,486,FDT44,Fruits and Vegetables,Apples
487,487,FDX14,Dairy,Milk
488,488,FDH57,Fruits and Vegetables,Apples
490,490,NCT41,Health and Hygiene,Toothpaste
491,491,FDO11,Breads,Whole Wheat Bread
492,492,NCP42,Household,Detergent
493,493,FDN09,Snack Foods,Potato Chips
494,494,FDP32,Fruits and Vegetables,Apples
495,495,FDV57,Snack Foods,Potato Chips
497,497,FDR56,Fruits and Vegetables,Apples
498,498,FDA40,Frozen Foods,Frozen Pizza
499,499,NCG42,Household,Detergent
500,500,NCK54,Household,Detergent
501,501,FDE16,Frozen Foods,Frozen Pizza
502,502,FDB15,Dairy,Milk
503,503,FDC40,Dairy,Milk
504,504,FDE53,Frozen Foods,Frozen Pizza
505,505,FDK24,Baking Goods,All-Purpose Flour
506,506,FDW31,Fruits and Vegetables,Apples
508,508,NCM07,Others,Miscellaneous Grocery Items
509,509,DRN36,Soft Drinks,Cola
510,510,FDQ37,Breakfast,Oats
512,512,FDK28,Frozen Foods,Frozen Pizza
514,514,FDL48,Baking Goods,All-Purpose Flour
515,515,DRL23,Hard Drinks,Whiskey
517,517,DRD37,Soft Drinks,Cola
518,518,FDZ47,Baking Goods,All-Purpose Flour
519,519,NCJ54,Household,Detergent
523,523,FDD08,Fruits and Vegetables,Apples
524,524,NCN18,Household,Detergent
526,526,NCI29,Health and Hygiene,Toothpaste
527,527,NCE06,Household,Detergent
529,529,FDU52,Frozen Foods,Frozen Pizza
530,530,FDN16,Frozen Foods,Frozen Pizza
531,531,NCM55,Others,Miscellaneous Grocery Items
532,532,FDR49,Canned,Canned Beans
536,536,FDA16,Frozen Foods,Frozen Pizza
537,537,FDO19,Fruits and Vegetables,Apples
538,538,FDO04,Frozen Foods,Frozen Pizza
539,539,NCL19,Others,Miscellaneous Grocery Items
541,541,FDR60,Baking Goods,All-Purpose Flour
542,542,FDV37,Canned,Canned Beans
543,543,FDG53,Frozen Foods,Frozen Pizza
544,544,DRG01,Soft Drinks,Cola
545,545,FDB38,Canned,Canned Beans
546,546,FDI27,Dairy,Milk
547,547,FDD29,Frozen Foods,Frozen Pizza
548,548,NCR41,Health and Hygiene,Toothpaste
549,549,FDW44,Fruits and Vegetables,Apples
550,550,FDU21,Snack Foods,Potato Chips
551,551,FDI14,Canned,Canned Beans
552,552,FDW50,Dairy,Milk
554,554,FDT31,Fruits and Vegetables,Apples
555,555,FDJ14,Canned,Canned Beans
556,556,NCQ43,Others,Miscellaneous Grocery Items
557,557,FDZ22,Snack Foods,Potato Chips
558,558,FDU38,Dairy,Milk
559,559,FDS32,Fruits and Vegetables,Apples
560,560,DRH13,Soft Drinks,Cola
561,561,DRF03,Dairy,Milk
562,562,FDJ20,Fruits and Vegetables,Apples
563,563,FDE22,Snack Foods,Potato Chips
564,564,FDX22,Snack Foods,Potato Chips
565,565,DRM11,Hard Drinks,Whiskey
567,567,FDL25,Breakfast,Oats
569,569,FDT08,Fruits and Vegetables,Apples
570,570,FDO22,Snack Foods,Potato Chips
571,571,NCM41,Health and Hygiene,Toothpaste
572,572,FDJ21,Snack Foods,Potato Chips
573,573,FDC53,Frozen Foods,Frozen Pizza
575,575,FDQ09,Snack Foods,Potato Chips
577,577,DRE25,Soft Drinks,Cola
578,578,FDL08,Fruits and Vegetables,Apples
580,580,FDW03,Meat,Chicken Breast
582,582,FDC17,Frozen Foods,Frozen Pizza
584,584,FDE34,Snack Foods,Potato Chips
588,588,FDO44,Fruits and Vegetables,Apples
590,590,NCF31,Household,Detergent
591,591,FDG14,Canned,Canned Beans
592,592,NCH30,Household,Detergent
593,593,FDR36,Baking Goods,All-Purpose Flour
594,594,NCJ30,Household,Detergent
595,595,FDR08,Fruits and Vegetables,Apples
597,597,NCQ50,Household,Detergent
598,598,FDL46,Snack Foods,Potato Chips
599,599,DRK37,Soft Drinks,Cola
600,600,FDK48,Baking Goods,All-Purpose Flour
601,601,FDV58,Snack Foods,Potato Chips
603,603,FDZ52,Frozen Foods,Frozen Pizza
604,604,NCF42,Household,Detergent
605,605,FDQ48,Baking Goods,All-Purpose Flour
607,607,FDR58,Snack Foods,Potato Chips
608,608,NCE07,Household,Detergent
609,609,FDK14,Canned,Canned Beans
610,610,FDC11,Starchy Foods,Rice
612,612,NCQ41,Health and Hygiene,Toothpaste
613,613,FDX46,Snack Foods,Potato Chips
614,614,FDC35,Starchy Foods,Rice
615,615,FDH45,Fruits and Vegetables,Apples
616,616,FDX33,Snack Foods,Potato Chips
617,617,DRJ35,Hard Drinks,Whiskey
620,620,FDP13,Canned,Canned Beans
621,621,FDP24,Baking Goods,All-Purpose Flour
622,622,NCQ42,Household,Detergent
624,624,FDU14,Dairy,Milk
626,626,FDT32,Fruits and Vegetables,Apples
627,627,FDK20,Fruits and Vegetables,Apples
632,632,FDU13,Canned,Canned Beans
633,633,FDE05,Frozen Foods,Frozen Pizza
634,634,FDE58,Snack Foods,Potato Chips
636,636,FDZ01,Canned,Canned Beans
637,637,FDM08,Fruits and Vegetables,Apples
638,638,FDS58,Snack Foods,Potato Chips
639,639,FDZ26,Dairy,Milk
641,641,FDY51,Meat,Chicken Breast
642,642,FDL34,Snack Foods,Potato Chips
643,643,DRG39,Dairy,Milk
644,644,NCG43,Household,Detergent
645,645,FDT01,Canned,Canned Beans
647,647,DRF01,Soft Drinks,Cola
648,648,FDF53,Frozen Foods,Frozen Pizza
650,650,FDR20,Fruits and Vegetables,Apples
652,652,FDD38,Canned,Canned Beans
654,654,FDH32,Fruits and Vegetables,Apples
655,655,NCJ42,Household,Detergent
659,659,FDW22,Snack Foods,Potato Chips
660,660,FDE32,Fruits and Vegetables,Apples
661,661,FDA34,Starchy Foods,Rice
663,663,FDG38,Canned,Canned Beans
665,665,NCE31,Household,Detergent
666,666,FDS19,Fruits and Vegetables,Apples
667,667,FDU11,Breads,Whole Wheat Bread
668,668,FDL02,Canned,Canned Beans
670,670,DRK23,Hard Drinks,Whiskey
671,671,FDO27,Meat,Chicken Breast
672,672,FDB16,Dairy,Milk
674,674,NCB18,Household,Detergent
675,675,NCL53,Health and Hygiene,Toothpaste
676,676,FDR16,Frozen Foods,Frozen Pizza
677,677,NCQ05,Health and Hygiene,Toothpaste
678,678,FDF44,Fruits and Vegetables,Apples
683,683,FDK15,Meat,Chicken Breast
685,685,FDS10,Snack Foods,Potato Chips
687,687,FDU32,Fruits and Vegetables,Apples
688,688,FDG09,Fruits and Vegetables,Apples
689,689,FDE39,Dairy,Milk
691,691,NCH55,Household,Detergent
694,694,FDC33,Fruits and Vegetables,Apples
695,695,NCV54,Household,Detergent
696,696,NCQ02,Household,Detergent
697,697,NCU17,Health and Hygiene,Toothpaste
698,698,NCZ06,Household,Detergent
700,700,DRH25,Soft Drinks,Cola
701,701,NCI43,Household,Detergent
702,702,NCQ53,Health and Hygiene,Toothpaste
703,703,NCT18,Household,Detergent
705,705,FDM14,Canned,Canned Beans
706,706,FDX57,Snack Foods,Potato Chips
707,707,NCV05,Health and Hygiene,Toothpaste
708,708,FDX39,Meat,Chicken Breast
709,709,FDA23,Baking Goods,All-Purpose Flour
710,710,NCV06,Household,Detergent
712,712,DRI39,Dairy,Milk
713,713,FDH21,Seafood,Salmon
714,714,FDR26,Dairy,Milk
715,715,FDA14,Dairy,Milk
716,716,FDG21,Seafood,Salmon
717,717,NCQ38,Others,Miscellaneous Grocery Items
718,718,FDN20,Fruits and Vegetables,Apples
719,719,NCN29,Health and Hygiene,Toothpaste
720,720,FDI28,Frozen Foods,Frozen Pizza
722,722,FDZ28,Frozen Foods,Frozen Pizza
723,723,FDO52,Frozen Foods,Frozen Pizza
724,724,FDU10,Snack Foods,Potato Chips
727,727,FDS28,Frozen Foods,Frozen Pizza
730,730,FDJ03,Dairy,Milk
731,731,FDQ51,Meat,Chicken Breast
734,734,NCK06,Household,Detergent
735,735,FDY09,Snack Foods,Potato Chips
737,737,FDA10,Snack Foods,Potato Chips
738,738,FDO34,Snack Foods,Potato Chips
739,739,FDE38,Canned,Canned Beans
740,740,FDF40,Dairy,Milk
741,741,FDY02,Dairy,Milk
742,742,FDS03,Meat,Chicken Breast
743,743,FDB59,Snack Foods,Potato Chips
745,745,FDO15,Meat,Chicken Breast
752,752,FDV56,Fruits and Vegetables,Apples
753,753,FDY26,Dairy,Milk
754,754,DRE13,Soft Drinks,Cola
757,757,FDD50,Canned,Canned Beans
758,758,FDC04,Dairy,Milk
763,763,NCR29,Health and Hygiene,Toothpaste
766,766,FDZ04,Frozen Foods,Frozen Pizza
767,767,FDU16,Frozen Foods,Frozen Pizza
768,768,FDV07,Fruits and Vegetables,Apples
770,770,FDW01,Canned,Canned Beans
771,771,FDC10,Snack Foods,Potato Chips
772,772,DRC12,Soft Drinks,Cola
773,773,DRK39,Dairy,Milk
776,776,DRB25,Soft Drinks,Cola
777,777,FDK26,Canned,Canned Beans
778,778,FDM52,Frozen Foods,Frozen Pizza
780,780,NCO06,Household,Detergent
782,782,FDK34,Snack Foods,Potato Chips
