,Item_Identifier,Item_Type,Physical_Product_Name
224,DRJ13,Soft Drinks,"Cola, Lemonade, Orange Juice"
225,NCO07,Others,Miscellaneous Grocery Items
226,FDW20,Fruits and Vegetables,"Apples, Carrots, Spinach"
227,DRF27,Dairy,"Milk, Butter, Cheese"
228,FDS49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
229,FDX25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
230,NCX42,Household,"Detergent, Dish Soap, Paper Towels"
231,FDG33,Seafood,"Salmon, Shrimp, Tuna"
232,FDL56,Fruits and Vegetables,"Apples, Carrots, Spinach"
233,FDF14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
234,NCD06,Household,"Detergent, Dish Soap, Paper Towels"
235,DRM47,Hard Drinks,"Whiskey, Vodka, Rum"
236,FDS46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
237,FDB35,Starchy Foods,"Rice, Pasta, Potatoes"
238,FDX21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
239,NCU05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
240,NCR38,Household,"Detergent, Dish Soap, Paper Towels"
241,NCR18,Household,"Detergent, Dish Soap, Paper Towels"
242,NCU41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
243,FDY56,Fruits and Vegetables,"Apples, Carrots, Spinach"
244,DRJ51,Dairy,"Milk, Butter, Cheese"
245,FDK21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
246,FDY25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
247,FDU44,Fruits and Vegetables,"Apples, Carrots, Spinach"
248,FDL43,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
249,FDF05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
250,DRF15,Dairy,"Milk, Butter, Cheese"
251,FDL20,Fruits and Vegetables,"Apples, Carrots, Spinach"
252,FDV32,Fruits and Vegetables,"Apples, Carrots, Spinach"
253,FDJ34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
254,FDG08,Fruits and Vegetables,"Apples, Carrots, Spinach"
255,FDQ04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
256,FDW13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
257,NCI17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
258,FDY03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
259,FDS12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
260,FDJ55,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
261,DRK01,Soft Drinks,"Cola, Lemonade, Orange Juice"
262,FDG28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
263,FDY38,Dairy,"Milk, Butter, Cheese"
264,FDN01,Breakfast,"Oats, Cornflakes, Granola"
265,NCR54,Household,"Detergent, Dish Soap, Paper Towels"
266,FDG29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
267,FDG24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
268,FDG59,Starchy Foods,"Rice, Pasta, Potatoes"
269,FDM28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
270,FDW04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
271,FDS26,Dairy,"Milk, Butter, Cheese"
272,FDQ56,Fruits and Vegetables,"Apples, Carrots, Spinach"
273,FDK51,Dairy,"Milk, Butter, Cheese"
274,FDL22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
275,FDH19,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
276,FDY55,Fruits and Vegetables,"Apples, Carrots, Spinach"
277,FDY03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
278,FDK21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
279,FDZ10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
280,FDZ32,Fruits and Vegetables,"Apples, Carrots, Spinach"
281,NCZ18,Household,"Detergent, Dish Soap, Paper Towels"
282,NCF07,Household,"Detergent, Dish Soap, Paper Towels"
283,DRE49,Soft Drinks,"Cola, Lemonade, Orange Juice"
284,FDJ08,Fruits and Vegetables,"Apples, Carrots, Spinach"
285,FDT39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
286,FDE08,Fruits and Vegetables,"Apples, Carrots, Spinach"
287,NCD06,Household,"Detergent, Dish Soap, Paper Towels"
288,FDB57,Fruits and Vegetables,"Apples, Carrots, Spinach"
289,NCT54,Household,"Detergent, Dish Soap, Paper Towels"
290,DRF49,Soft Drinks,"Cola, Lemonade, Orange Juice"
291,FDM25,Breakfast,"Oats, Cornflakes, Granola"
292,FDF20,Fruits and Vegetables,"Apples, Carrots, Spinach"
293,FDH27,Dairy,"Milk, Butter, Cheese"
294,FDV60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
295,FDY59,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
296,FDK36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
297,NCM31,Others,Miscellaneous Grocery Items
298,FDE33,Fruits and Vegetables,"Apples, Carrots, Spinach"
299,FDU36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
300,FDV13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
301,FDV20,Fruits and Vegetables,"Apples, Carrots, Spinach"
302,NCQ54,Household,"Detergent, Dish Soap, Paper Towels"
303,FDO23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
304,DRE60,Soft Drinks,"Cola, Lemonade, Orange Juice"
305,DRP47,Hard Drinks,"Whiskey, Vodka, Rum"
306,FDB21,Fruits and Vegetables,"Apples, Carrots, Spinach"
307,FDR04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
308,FDX23,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
309,FDX19,Fruits and Vegetables,"Apples, Carrots, Spinach"
310,FDD40,Dairy,"Milk, Butter, Cheese"
311,FDA01,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
312,FDS33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
313,FDM50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
314,FDB29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
315,FDF46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
316,FDA33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
317,FDC08,Fruits and Vegetables,"Apples, Carrots, Spinach"
318,FDB53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
319,FDY31,Fruits and Vegetables,"Apples, Carrots, Spinach"
320,DRQ35,Hard Drinks,"Whiskey, Vodka, Rum"
321,FDX36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
322,DRD13,Soft Drinks,"Cola, Lemonade, Orange Juice"
323,FDC52,Dairy,"Milk, Butter, Cheese"
324,FDB45,Fruits and Vegetables,"Apples, Carrots, Spinach"
325,NCK19,Others,Miscellaneous Grocery Items
326,FDV51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
327,FDZ35,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
328,NCW17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
329,FDV59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
330,DRH39,Dairy,"Milk, Butter, Cheese"
331,FDN60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
332,FDU55,Fruits and Vegetables,"Apples, Carrots, Spinach"
333,FDN58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
334,FDC41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
335,FDO01,Breakfast,"Oats, Cornflakes, Granola"
336,NCO43,Others,Miscellaneous Grocery Items
337,FDQ07,Fruits and Vegetables,"Apples, Carrots, Spinach"
338,FDF28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
339,FDM01,Breakfast,"Oats, Cornflakes, Granola"
340,FDY49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
341,FDR24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
342,NCY18,Household,"Detergent, Dish Soap, Paper Towels"
343,NCY30,Household,"Detergent, Dish Soap, Paper Towels"
344,FDJ22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
345,DRI37,Soft Drinks,"Cola, Lemonade, Orange Juice"
346,FDL27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
347,NCO30,Household,"Detergent, Dish Soap, Paper Towels"
348,NCB07,Household,"Detergent, Dish Soap, Paper Towels"
349,FDX25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
350,FDP59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
351,FDR59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
352,FDT27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
353,DRI01,Soft Drinks,"Cola, Lemonade, Orange Juice"
354,FDU09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
355,FDH26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
356,FDH27,Dairy,"Milk, Butter, Cheese"
357,FDN39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
358,FDH40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
359,FDJ56,Fruits and Vegetables,"Apples, Carrots, Spinach"
360,DRN47,Hard Drinks,"Whiskey, Vodka, Rum"
361,NCO17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
362,FDX60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
363,FDT22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
364,FDX26,Dairy,"Milk, Butter, Cheese"
365,FDG45,Fruits and Vegetables,"Apples, Carrots, Spinach"
366,FDD44,Fruits and Vegetables,"Apples, Carrots, Spinach"
367,FDS15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
368,FDL51,Dairy,"Milk, Butter, Cheese"
369,FDL32,Fruits and Vegetables,"Apples, Carrots, Spinach"
370,FDZ07,Fruits and Vegetables,"Apples, Carrots, Spinach"
371,NCW53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
372,NCA54,Household,"Detergent, Dish Soap, Paper Towels"
373,FDX09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
374,FDO51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
375,FDW49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
376,FDB27,Dairy,"Milk, Butter, Cheese"
377,FDF45,Fruits and Vegetables,"Apples, Carrots, Spinach"
378,FDV02,Dairy,"Milk, Butter, Cheese"
379,FDY28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
380,FDX31,Fruits and Vegetables,"Apples, Carrots, Spinach"
381,FDR43,Fruits and Vegetables,"Apples, Carrots, Spinach"
382,FDP51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
383,FDL52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
384,FDR44,Fruits and Vegetables,"Apples, Carrots, Spinach"
385,FDB34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
386,FDC50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
387,FDT57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
388,FDP22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
389,DRE49,Soft Drinks,"Cola, Lemonade, Orange Juice"
390,FDM40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
391,FDY32,Fruits and Vegetables,"Apples, Carrots, Spinach"
392,FDW07,Fruits and Vegetables,"Apples, Carrots, Spinach"
